Fecha,Rosario,Paraná,Santa Fe,Ceres,Reconquista,Concordia,Gualeguaychú
6/12/2020,0,0,0,0,0,0,0
6/13/2020,0,0,0,0,0,0,0
6/14/2020,0,0,0,0,0,0,0
6/15/2020,0,0,0,0,0,0,0
6/16/2020,0,0,0,0,0,0,0
6/17/2020,12,22,12,4,0,26,33
6/18/2020,0,0,0,0,0,0,0
6/19/2020,0,0,0,0,0,0,0
6/20/2020,0,0,0,0,0,0,0
6/21/2020,0,0,0,0,0,0,0
6/22/2020,0.5,0,0,1,0,11,5
6/23/2020,0.5,1,0,0,0,0,2
6/24/2020,0,0,0,0,0.6,3,0.1
6/25/2020,0,0,0,0,0,0,0
6/26/2020,0,0,0,0,0,0,0
6/27/2020,0,0,0,0,0,0,0
6/28/2020,0,0,0,0,0,0,0
6/29/2020,0,0,0,0,0,8,8
6/30/2020,0.3,0,0,0,0.1,0.5,4
7/1/2020,0,0,0,0,0,0,0
7/2/2020,0,0,0,0,0,0,0
7/3/2020,0,0,0,0,0,0,0
7/4/2020,0,0,0,0,0,0,0
7/5/2020,0,0,0,0,0,0,0
7/6/2020,0,0,0,0,0.8,0,0
7/7/2020,0,0,0,0,5,4,0.7
7/8/2020,0,0,0,0,0,0,0
7/9/2020,0,0,0,0,0,0,0
7/10/2020,0,0,0,0,0,0,0
7/11/2020,0,0,0,0,0,0,0
7/12/2020,0,0,0,0,0,0,0
7/13/2020,0,0,0,0,0,0,0
7/14/2020,0,0,0,0,0,0,0
7/15/2020,0,0,0,0,0.2,0,0
7/16/2020,0,0,0,0,0,0,0
7/17/2020,0,0,0,0,0,0,0
7/18/2020,0,0,0,0,0,0,0
7/19/2020,0,0,0,0,0,0,0
7/20/2020,0,0,0,0,0,0,0
7/21/2020,0,0,0,0,0,0,0.5
7/22/2020,2,3,0,1,0,0,2
7/23/2020,1,5,3,0,1,4,23
7/24/2020,0,0,0,0,0.9,0.9,0
7/25/2020,0,0,0,0,0,0,0
7/26/2020,0,0,0,0,0,0,0
7/27/2020,0,0,0,0,0,0,0
7/28/2020,0,0,0,0,0,0,0
7/29/2020,0,0,0,0,0,0,0
7/30/2020,0,0,0,0,0,0,0
7/31/2020,0,0,0,0,0,0,0
